0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"[0.40440502762794495, 0.17683982849121094]","[0.3997887074947357, 0.15666410326957703]","[0.3996883034706116, 0.15632203221321106]","[0.39942964911460876, 0.15614835917949677]","[0.39555075764656067, 0.15533490478992462]","[0.3926657736301422, 0.15437372028827667]","[0.38960275053977966, 0.15373440086841583]","[0.3867144286632538, 0.16113024950027466]","[0.3749793767929077, 0.16092504560947418]","[0.40214109420776367, 0.19880957901477814]","[0.39623627066612244, 0.19778405129909515]","[0.38329675793647766, 0.27882492542266846]","[0.334418922662735, 0.26357918977737427]","[0.3956455886363983, 0.39513441920280457]","[0.24886250495910645, 0.3423221707344055]","[0.4208652377128601, 0.37054121494293213]","[0.3181602358818054, 0.4359840750694275]","[0.4249045252799988, 0.36201146245002747]","[0.3305343687534332, 0.46618521213531494]","[0.4216810464859009, 0.3495725989341736]","[0.33846667408943176, 0.4567783772945404]","[0.41856807470321655, 0.35307690501213074]","[0.33647680282592773, 0.4458981156349182]","[0.3632201850414276, 0.5847992300987244]","[0.3542291522026062, 0.5865609049797058]","[0.29002559185028076, 0.7462741136550903]","[0.4460658133029938, 0.7486857175827026]","[0.1966446489095688, 0.8325610160827637]","[0.4402064085006714, 0.9728435277938843]","[0.17577514052391052, 0.8241128325462341]","[0.427298367023468, 0.9920051693916321]","[0.19326671957969666, 0.9076569676399231]","[0.4839894473552704, 1.0426222085952759]"
"[0.4038521647453308, 0.17457622289657593]","[0.3990611135959625, 0.15424025058746338]","[0.3988640010356903, 0.15394321084022522]","[0.39852046966552734, 0.15375672280788422]","[0.3951265513896942, 0.15291136503219604]","[0.3922981917858124, 0.15181244909763336]","[0.3893013894557953, 0.15095597505569458]","[0.3858165144920349, 0.15821795165538788]","[0.3747595250606537, 0.1574288308620453]","[0.4010455906391144, 0.19647522270679474]","[0.3956775665283203, 0.195579394698143]","[0.3858843743801117, 0.27745890617370605]","[0.3300214111804962, 0.26372137665748596]","[0.3951793611049652, 0.38996148109436035]","[0.24726399779319763, 0.3465002477169037]","[0.41855281591415405, 0.3734756410121918]","[0.317473828792572, 0.4357813894748688]","[0.42281898856163025, 0.3684021532535553]","[0.3300066590309143, 0.46327999234199524]","[0.4197842478752136, 0.35815730690956116]","[0.3375750780105591, 0.4530216157436371]","[0.4165513813495636, 0.35673779249191284]","[0.33568957448005676, 0.44287043809890747]","[0.36480170488357544, 0.5846238136291504]","[0.35379132628440857, 0.5862846374511719]","[0.294259250164032, 0.7505035400390625]","[0.44057509303092957, 0.7540383338928223]","[0.1950356364250183, 0.7936592102050781]","[0.45321565866470337, 0.9795012474060059]","[0.17467491328716278, 0.7810028791427612]","[0.442980021238327, 0.9910048842430115]","[0.18004770576953888, 0.8780913352966309]","[0.4983687996864319, 1.0555928945541382]"
"[0.4040127694606781, 0.17286257445812225]","[0.39883607625961304, 0.15248054265975952]","[0.39855387806892395, 0.15222743153572083]","[0.3981480598449707, 0.15207289159297943]","[0.3951152563095093, 0.15124358236789703]","[0.3923335075378418, 0.1502283215522766]","[0.38935616612434387, 0.1493874192237854]","[0.38513603806495667, 0.15751665830612183]","[0.3746713101863861, 0.1568407565355301]","[0.4010702073574066, 0.19468168914318085]","[0.39587920904159546, 0.19396425783634186]","[0.3886781632900238, 0.2753663659095764]","[0.3297788202762604, 0.2638285458087921]","[0.3880925178527832, 0.38978153467178345]","[0.24991752207279205, 0.35114091634750366]","[0.4155546724796295, 0.3768514096736908]","[0.3207710087299347, 0.4376787543296814]","[0.4227789342403412, 0.3825388252735138]","[0.332836776971817, 0.46470481157302856]","[0.4201563596725464, 0.37533918023109436]","[0.34114840626716614, 0.45654764771461487]","[0.41629350185394287, 0.37121233344078064]","[0.3387453258037567, 0.44632235169410706]","[0.36629438400268555, 0.583527147769928]","[0.3537708818912506, 0.5860557556152344]","[0.3023170828819275, 0.7541870474815369]","[0.4364185631275177, 0.7684816122055054]","[0.19798173010349274, 0.7607026696205139]","[0.45846885442733765, 0.9932915568351746]","[0.1801712065935135, 0.7382849454879761]","[0.44636180996894836, 1.0154194831848145]","[0.17986217141151428, 0.8371359705924988]","[0.4972666800022125, 1.0936012268066406]"
"[0.404101699590683, 0.17002706229686737]","[0.3987894356250763, 0.15005263686180115]","[0.39836978912353516, 0.14975793659687042]","[0.39779889583587646, 0.14955687522888184]","[0.39524713158607483, 0.1490883082151413]","[0.3924943208694458, 0.148185133934021]","[0.38953500986099243, 0.1474033147096634]","[0.38428160548210144, 0.15639835596084595]","[0.37465667724609375, 0.15587091445922852]","[0.401149183511734, 0.19191673398017883]","[0.39608481526374817, 0.19162893295288086]","[0.39051327109336853, 0.27529773116111755]","[0.3284125328063965, 0.26392921805381775]","[0.38226407766342163, 0.3926718235015869]","[0.2525549530982971, 0.3626472055912018]","[0.4156019389629364, 0.3991101384162903]","[0.3236469030380249, 0.4418434202671051]","[0.42288893461227417, 0.40901559591293335]","[0.3354541063308716, 0.4692397117614746]","[0.42036136984825134, 0.3997197449207306]","[0.34359264373779297, 0.46136948466300964]","[0.41656166315078735, 0.39448484778404236]","[0.34135445952415466, 0.45166856050491333]","[0.3671873211860657, 0.582278847694397]","[0.35338687896728516, 0.5859807729721069]","[0.3074454665184021, 0.7559961676597595]","[0.43182817101478577, 0.7860357165336609]","[0.2034323364496231, 0.7343508005142212]","[0.4548347592353821, 0.9911972880363464]","[0.18822482228279114, 0.7123950123786926]","[0.44871073961257935, 1.012259602546692]","[0.18463441729545593, 0.808022141456604]","[0.4987480342388153, 1.089847445487976]"
"[0.40407830476760864, 0.17081844806671143]","[0.39833882451057434, 0.1507476270198822]","[0.3978811502456665, 0.15039490163326263]","[0.39729365706443787, 0.15015658736228943]","[0.3948192298412323, 0.14985783398151398]","[0.39204421639442444, 0.14901049435138702]","[0.38907280564308167, 0.1483413130044937]","[0.3835887908935547, 0.15729880332946777]","[0.3735877275466919, 0.15699882805347443]","[0.40096238255500793, 0.19270220398902893]","[0.39593544602394104, 0.19246400892734528]","[0.39493128657341003, 0.2757476270198822]","[0.32438600063323975, 0.2696268856525421]","[0.3848073184490204, 0.3953740894794464]","[0.25440487265586853, 0.38295993208885193]","[0.4166068434715271, 0.4321688413619995]","[0.324157178401947, 0.4432409107685089]","[0.42505598068237305, 0.4414847493171692]","[0.3390220105648041, 0.4724312722682953]","[0.4222806990146637, 0.42771410942077637]","[0.34735777974128723, 0.46449026465415955]","[0.4175935387611389, 0.4225172996520996]","[0.3442631959915161, 0.4546796679496765]","[0.3689115345478058, 0.5819945335388184]","[0.35257190465927124, 0.5858357548713684]","[0.31014811992645264, 0.765175461769104]","[0.4301765561103821, 0.7971857190132141]","[0.2153353989124298, 0.7164868116378784]","[0.4481261968612671, 0.9969062209129333]","[0.19826708734035492, 0.6843495965003967]","[0.4402957558631897, 1.004417061805725]","[0.1900908350944519, 0.7703419923782349]","[0.4881228506565094, 1.0962179899215698]"
"[0.4045695960521698, 0.17165803909301758]","[0.3984503448009491, 0.15154942870140076]","[0.39790108799934387, 0.1511378437280655]","[0.39734628796577454, 0.15082326531410217]","[0.3949822187423706, 0.15070746839046478]","[0.39210590720176697, 0.14985798299312592]","[0.38909491896629333, 0.14920026063919067]","[0.3835982084274292, 0.15802162885665894]","[0.3736478090286255, 0.15773318707942963]","[0.4011138379573822, 0.19340011477470398]","[0.39611318707466125, 0.19286417961120605]","[0.3966106176376343, 0.2786397933959961]","[0.3244192898273468, 0.27404817938804626]","[0.39048823714256287, 0.40297815203666687]","[0.25742390751838684, 0.4011470377445221]","[0.4183836281299591, 0.45666584372520447]","[0.3298022150993347, 0.4545186758041382]","[0.4261484742164612, 0.46947187185287476]","[0.34847214818000793, 0.4790782928466797]","[0.42251256108283997, 0.4570089876651764]","[0.35620248317718506, 0.46630167961120605]","[0.41774192452430725, 0.4522024691104889]","[0.3532510995864868, 0.4583595395088196]","[0.3690008521080017, 0.5819756984710693]","[0.350564569234848, 0.5848842859268188]","[0.3168463110923767, 0.7779303789138794]","[0.42466893792152405, 0.8058876991271973]","[0.22776968777179718, 0.7075737714767456]","[0.433403342962265, 0.996846616268158]","[0.20987653732299805, 0.6702572703361511]","[0.4255165755748749, 1.000731110572815]","[0.20059475302696228, 0.7499930262565613]","[0.47044482827186584, 1.1112780570983887]"
"[0.40555888414382935, 0.17219530045986176]","[0.39926421642303467, 0.15176060795783997]","[0.3985857367515564, 0.15145482122898102]","[0.3978519141674042, 0.15125316381454468]","[0.3956136703491211, 0.1508161723613739]","[0.3925226032733917, 0.1499859243631363]","[0.38932833075523376, 0.14935441315174103]","[0.3837021291255951, 0.1580989807844162]","[0.3737495541572571, 0.15836969017982483]","[0.40151044726371765, 0.1945384293794632]","[0.3964521288871765, 0.1940658688545227]","[0.3965863287448883, 0.28007566928863525]","[0.32365986704826355, 0.2839756906032562]","[0.3912842869758606, 0.4039945602416992]","[0.26262524724006653, 0.4307836592197418]","[0.41823288798332214, 0.46905240416526794]","[0.342797189950943, 0.46990132331848145]","[0.42637044191360474, 0.49118754267692566]","[0.36335575580596924, 0.4914923906326294]","[0.42290493845939636, 0.48036471009254456]","[0.3697950541973114, 0.474601686000824]","[0.41782912611961365, 0.47157442569732666]","[0.36717694997787476, 0.46807366609573364]","[0.3700005114078522, 0.5826054215431213]","[0.34544637799263, 0.5854662656784058]","[0.3296278715133667, 0.7861693501472473]","[0.41545549035072327, 0.809499204158783]","[0.25788965821266174, 0.7064121961593628]","[0.4239807724952698, 0.9982053637504578]","[0.2398715764284134, 0.6676097512245178]","[0.4142637550830841, 0.995582640171051]","[0.22167597711086273, 0.7270489931106567]","[0.4542069733142853, 1.1119438409805298]"
"[0.40676406025886536, 0.1748829185962677]","[0.4001406729221344, 0.15339671075344086]","[0.39933469891548157, 0.15296241641044617]","[0.39842942357063293, 0.15258099138736725]","[0.39644038677215576, 0.15296028554439545]","[0.3932551145553589, 0.15247169137001038]","[0.3899211585521698, 0.15217970311641693]","[0.38372740149497986, 0.16035567224025726]","[0.373818963766098, 0.16190023720264435]","[0.4030439257621765, 0.19826757907867432]","[0.39817047119140625, 0.19831900298595428]","[0.39640161395072937, 0.2847536504268646]","[0.3240377604961395, 0.29403775930404663]","[0.3903731107711792, 0.4136054217815399]","[0.27669721841812134, 0.4557883143424988]","[0.4160507321357727, 0.4918128550052643]","[0.36113521456718445, 0.4871291518211365]","[0.4252120852470398, 0.5156964063644409]","[0.3845129907131195, 0.5061109662055969]","[0.42297637462615967, 0.5053085684776306]","[0.38833752274513245, 0.4858482778072357]","[0.41790929436683655, 0.4952668845653534]","[0.3831306993961334, 0.47899702191352844]","[0.37082773447036743, 0.5867745280265808]","[0.34502503275871277, 0.5951205492019653]","[0.35307639837265015, 0.7918707132339478]","[0.40598252415657043, 0.8199893236160278]","[0.3239252269268036, 0.8823868632316589]","[0.34595027565956116, 0.8878014087677002]","[0.3131408095359802, 0.9000512957572937]","[0.3307744264602661, 0.8763517141342163]","[0.3528040647506714, 0.9224992394447327]","[0.3535902202129364, 0.9439520835876465]"
"[0.40753257274627686, 0.17997853457927704]","[0.4005592465400696, 0.15842080116271973]","[0.39970794320106506, 0.15816694498062134]","[0.39875051379203796, 0.1579730063676834]","[0.39681321382522583, 0.158044695854187]","[0.3936033546924591, 0.15774306654930115]","[0.3902360200881958, 0.1576094925403595]","[0.3838105797767639, 0.1676173061132431]","[0.373851478099823, 0.16868050396442413]","[0.40409186482429504, 0.2040894329547882]","[0.39946669340133667, 0.20399655401706696]","[0.3955801725387573, 0.297931045293808]","[0.3243919610977173, 0.2993890047073364]","[0.37592682242393494, 0.44025668501853943]","[0.289492130279541, 0.469314306974411]","[0.4074523150920868, 0.5113367438316345]","[0.37708598375320435, 0.4931603968143463]","[0.4162958562374115, 0.5355623364448547]","[0.39860624074935913, 0.5129581689834595]","[0.4191610515117645, 0.5248879790306091]","[0.4040282666683197, 0.4922564923763275]","[0.4153417646884918, 0.5120046138763428]","[0.3978692591190338, 0.4836611747741699]","[0.37038448452949524, 0.5955399870872498]","[0.3404492139816284, 0.6027249097824097]","[0.3681573271751404, 0.7934072017669678]","[0.3981661796569824, 0.8337240815162659]","[0.32469499111175537, 0.8468466997146606]","[0.3644463121891022, 1.0020115375518799]","[0.3118104338645935, 0.8456230759620667]","[0.34756526350975037, 1.0496660470962524]","[0.34293365478515625, 0.9105237722396851]","[0.3858095407485962, 1.0861268043518066]"
"[0.40849316120147705, 0.1866581290960312]","[0.4013740122318268, 0.16483871638774872]","[0.40040236711502075, 0.16453537344932556]","[0.3992444574832916, 0.16427768766880035]","[0.39763733744621277, 0.16487367451190948]","[0.394290953874588, 0.16463030874729156]","[0.3908241093158722, 0.16454747319221497]","[0.3838379979133606, 0.17494983971118927]","[0.3744211792945862, 0.17593607306480408]","[0.40482619404792786, 0.21100002527236938]","[0.4005066752433777, 0.21082061529159546]","[0.39271023869514465, 0.30509456992149353]","[0.3264334499835968, 0.30556532740592957]","[0.3655380606651306, 0.44376707077026367]","[0.2953764796257019, 0.46960148215293884]","[0.40444743633270264, 0.5071811676025391]","[0.3871345818042755, 0.48780766129493713]","[0.41351956129074097, 0.5286184549331665]","[0.4085336923599243, 0.512079119682312]","[0.41768065094947815, 0.5174647569656372]","[0.41356712579727173, 0.482098788022995]","[0.4138879179954529, 0.5045274496078491]","[0.4082963168621063, 0.4777306318283081]","[0.3700682818889618, 0.6048163175582886]","[0.34039580821990967, 0.6124526858329773]","[0.39331385493278503, 0.8012241125106812]","[0.38978177309036255, 0.8361765146255493]","[0.3514922559261322, 0.9398161172866821]","[0.3438798189163208, 0.9916959404945374]","[0.33132418990135193, 0.9550612568855286]","[0.32402393221855164, 1.0075280666351318]","[0.36127668619155884, 0.9824833869934082]","[0.35683730244636536, 1.0628858804702759]"
